model,batch_size,local_epochs,learning_rate,accuracy_Binary,accuracy_Multi-class,auc_roc_Binary,auc_roc_Multi-class,f1_score_Binary,f1_score_Multi-class,precision_Binary,precision_Multi-class,recall_Binary,recall_Multi-class,weighted_score_Binary,weighted_score_Multi-class,combined_score,score_difference,balance_score,duration_seconds,duration_minutes,normalized_time_score,optimization_score,normalized_performance,performance_per_second,efficiency_score,opt_score_Performance_Focused,opt_score_Balanced,opt_score_Time_Focused,opt_score_Efficiency,is_pareto_optimal,roi_score
CNN,512,2,0.0005,0.9048307233054562,0.7145632448056102,0.964224521096588,0.9839760289629036,0.9412693539190315,0.6668111644316425,0.8895213883055156,0.800969813827613,0.9994101027663076,0.7145632448056102,0.9398512178785798,0.7761766993666759,0.8580139586226279,0.16367451851190395,0.8416465067714375,898.964793,14.98274655,0.02693486839959025,0.5972330152598833,0.8154647526470364,0.0009362396762644269,0.5450820619950028,0.6577587757975473,0.5000527989480579,0.34234682209856876,0.42119981052331334,False,0.00046226735832813717
MLP,512,2,0.0005,0.9561941765974081,0.7047312184605179,0.994311964047316,0.9667888732303428,0.972036115606237,0.6672953620403611,0.9476291578202406,0.7172833328972702,0.997733552733708,0.7047312184605179,0.973580993360982,0.752166001017802,0.862873497189392,0.22141499234318007,0.840731997955074,898.964793,14.98274655,0.02693486839959025,0.5965928590884289,0.8100705296250515,0.0009352223852386999,0.5414763951674175,0.6534433973799593,0.49681626513486704,0.34018913288977476,0.4185026990123209,False,0.00045920950301494125
MLP,1024,2,0.001,0.9552938946670142,0.7042100026060792,0.993509362290043,0.9639340395829187,0.9714958988534916,0.6719612785173343,0.9460167098140739,0.7039780655279143,0.9983855444130523,0.7042100026060792,0.9729402820075351,0.7496586777680653,0.8612994798878002,0.22328160423946986,0.8389713194638532,894.564681,14.90941135,0.041299327156823495,0.5996697217717442,0.7996851814668743,0.0009378542851993653,0.5371637295545716,0.6480080106048641,0.49633083974285397,0.3446536688808438,0.4204922543118489,False,0.0004600914930308816
MLP,256,2,0.001,0.9546305290340923,0.6936435357388234,0.9922739963985221,0.9784466477396224,0.9710221684194598,0.662563449476257,0.9471307120085016,0.6993368182658428,0.9961501443695862,0.6936435357388234,0.9722415100460324,0.7455267973918739,0.8588841537189531,0.22671471265415855,0.8362126824535372,907.215465,15.12025775,0.0,0.585348877717476,0.7834133828750149,0.0009217354803949877,0.5188955196989463,0.626730706300012,0.4700480297250089,0.313365353150006,0.39170669143750747,False,0.00043217540357274264
MLP,1024,1,0.0005,0.953919780141676,0.6834087516880286,0.9926709817131856,0.9536501902018835,0.9705744413682507,0.6535572761013484,0.9465033933313662,0.6958161273119878,0.9959017665869788,0.6834087516880286,0.9719140726282914,0.7339682193982555,0.8529411460132734,0.23794585323003592,0.8291465606902698,606.734611,10.112243516666666,0.9809397657653209,0.874684522212785,0.7417339195286319,0.0013665720492254394,0.7345963217987532,0.7895750887759698,0.8374162580233075,0.8852574272706453,0.8613368426469764,False,0.018388448184282227
MLP,1024,2,0.0005,0.9556255774834751,0.6761591129853822,0.9932247741314538,0.9632361775767092,0.9716945489716039,0.6384055853578494,0.9466168070196102,0.6880432259736625,0.9981371666304449,0.6761591129853822,0.9730597748473176,0.7284006429757972,0.8507302089115574,0.24465913187152044,0.8262642957244053,903.94467,15.0657445,0.010677728176206491,0.5815883254599455,0.724732902418538,0.0009140651227296969,0.4817652930097114,0.5819218675700718,0.4391108327216054,0.29629979787313915,0.36770531529737227,False,0.00040410479184304997
MLP,512,1,0.001,0.9562178682271554,0.6723447605960814,0.9930793706727933,0.9619517622531698,0.9720567332990595,0.6357186280948255,0.9474723655121592,0.684982590516614,0.9979508832934894,0.6723447605960814,0.9733554442009313,0.7254685004113545,0.8494119723061428,0.24788694378957687,0.8246232779271851,602.920188,10.0486698,0.9933922037637493,0.8752539556781543,0.7150533719177259,0.0013677154859627707,0.7126528275360784,0.7707211382869306,0.8263889046561352,0.8820566710253399,0.8542227878407376,True,0.0400868456311047
MLP,256,1,0.0005,0.949986969603639,0.6715629368144235,0.9932659551678101,0.9648406791054301,0.96824561139608,0.6348786117709442,0.9391304347826087,0.6857191739381764,0.999223819429352,0.6715629368144235,0.9699705580758982,0.7257128676886796,0.8478417128822888,0.24425769038721856,0.823415943843567,605.683393,10.094723216666667,0.9843715369579316,0.8717026217778763,0.707931921372309,0.001359482451326789,0.7023364514712255,0.7632198444894335,0.818507767606558,0.8737956907236825,0.8461517291651203,False,0.020738360669684465
MLP,512,1,0.0005,0.9561941765974081,0.6676538179061338,0.9933376944332329,0.958421942127783,0.9720437260920183,0.6311864431005022,0.9473916887709991,0.683668852055376,0.9980129777391412,0.6676538179061338,0.9733960527265599,0.7217169746191857,0.8475565136728729,0.2516790781073742,0.8223886058621355,605.979226,10.099653766666668,0.9834057704211869,0.8706937552298508,0.7018721764123491,0.0013571234302710822,0.6959846638203322,0.7581788952141166,0.8144856140158843,0.8707923328176517,0.8426389734167681,False,0.019560936428589904
MLP,1024,1,0.001,0.9555071193347391,0.6635314743301192,0.9926110264211866,0.9587651689170406,0.9716219891806945,0.6206091293400031,0.9464511760723012,0.6642140477281184,0.9981682138532708,0.6635314743301192,0.9728719049724385,0.7141302589290801,0.8435010819507593,0.25874164604335836,0.8176269173464235,600.896092,10.014934866666666,1.0,0.8723388421424965,0.6737853943547268,0.0013606793724104025,0.6737853943547268,0.7390283154837816,0.8042712366128362,0.8695141577418908,0.8368926971773634,True,0.1142301089448835
CNN,1024,1,0.001,0.9553175862967613,0.6546944964344097,0.9944845990251173,0.9536720975994172,0.9713878269312458,0.5941411139351407,0.9498027116029312,0.6813084159155907,0.9939768387717719,0.6546944964344097,0.9729939125255656,0.7077021240637935,0.8403480182946795,0.26529178846177204,0.8138188394485023,600.896092,10.014934866666666,1.0,0.8696731876139516,0.6513234769856175,0.001354342040634377,0.6513234769856175,0.7210587815884941,0.7907940861913705,0.8605293907942471,0.8256617384928088,False,0.11042203104696235
CNN,256,2,0.001,0.889146864412803,0.5229453434101732,0.9908719969573723,0.8572665142995853,0.9222279474095374,0.45808291429188386,0.9924161121843028,0.6253018203797831,0.8613120556366233,0.5229453434101732,0.9311949953201277,0.5973083871583198,0.7642516912392238,0.33388660816180793,0.730863030423043,907.215465,15.12025775,0.0,0.5116041212961301,0.16200929340899348,0.0008056113003133638,0.10730719992427107,0.1296074347271948,0.09720557604539608,0.0648037173635974,0.08100464670449674,False,8.937354568110179e-05
CNN,512,1,0.001,0.9560283351891776,0.4521547537255088,0.9957411608556616,0.9336064898007302,0.9719068809977901,0.3624531113048744,0.9482529462149629,0.444941176550827,0.9967710888261045,0.4521547537255088,0.9737400824167394,0.5290620570214899,0.7514010697191147,0.4446780253952495,0.7069332671795897,602.920188,10.0486698,0.9933922037637493,0.7928709481548375,0.020859774138333422,0.0011725155024657917,0.020789744661406526,0.2153662600634166,0.4098727459884998,0.6043792319135829,0.5071259889510413,False,0.0011694267569712202
CNN,256,1,0.001,0.9572839915657798,0.4319221019213912,0.9918217811791735,0.8942854415193235,0.972694643425058,0.3299208065444,0.9495003252320975,0.5280221146172294,0.9970505138315378,0.4319221019213912,0.9736702510467293,0.523214513304747,0.7484423821757382,0.45045573774198233,0.70339680840154,616.242495,10.27070825,0.949900645036904,0.7773479593921491,0.0,0.0011414286001187569,0.0,0.18998012900738082,0.37996025801476163,0.5699403870221423,0.474950322518452,False,0.0
