experiment_alpha03,batch_size,local_epochs,learning_rate,alpha_alpha03,classification,model,model_base_alpha03,accuracy_alpha03,precision_alpha03,recall_alpha03,f1_score_alpha03,auc_roc_alpha03,experiment_alpha50,alpha_alpha50,model_base_alpha50,accuracy_alpha50,precision_alpha50,recall_alpha50,f1_score_alpha50,auc_roc_alpha50,acc_diff,f1_diff,auc_diff
bs512_epoch2_lr0p0005_alpha0p3,512,2,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7145632448056102,0.800969813827613,0.7145632448056102,0.6668111644316425,0.9839760289629036,bs512_epoch2_lr0p0005_alpha5p0,5.0,CNN,0.7713046980501789,0.8212799156233275,0.7713046980501789,0.7501850769466777,0.9769394097430547,0.056741453244568696,0.08337391251503523,-0.007036619219848883
bs256_epoch1_lr0p0005_alpha0p3,256,1,0.0005,0.3,Binary,MLP Binary,MLP,0.949986969603639,0.9391304347826087,0.999223819429352,0.96824561139608,0.9932659551678101,bs256_epoch1_lr0p0005_alpha5p0,5.0,MLP,0.9567627757113412,0.9485915077068446,0.9973920332826228,0.972379871358305,0.993484364618585,0.00677580610770212,0.00413425996222494,0.00021840945077489238
bs256_epoch1_lr0p0005_alpha0p3,256,1,0.0005,0.3,Binary,CNN Binary,CNN,0.9571892250467909,0.9483277296053796,0.9982924027445745,0.9726688346063677,0.9966942593684995,bs256_epoch1_lr0p0005_alpha5p0,5.0,CNN,0.9592977800942927,0.9518390089208975,0.9971126082771896,0.9739499620924943,0.9644880638951846,0.0021085550475017367,0.001281127486126632,-0.032206195473314936
bs256_epoch1_lr0p0005_alpha0p3,256,1,0.0005,0.3,Multi-class,MLP Multi,MLP,0.6715629368144235,0.6857191739381764,0.6715629368144235,0.6348786117709442,0.9648406791054301,bs256_epoch1_lr0p0005_alpha5p0,5.0,MLP,0.7345352886825085,0.7855726789793369,0.7345352886825085,0.7180588231500935,0.9762808089229847,0.06297235186808503,0.08318021137914933,0.0114401298175546
bs256_epoch1_lr0p0005_alpha0p3,256,1,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7222630244734535,0.7550994780271039,0.7222630244734535,0.6972557945693597,0.9689583713527482,bs256_epoch1_lr0p0005_alpha5p0,5.0,CNN,0.7806865834300741,0.8256591367792925,0.7806865834300741,0.7636937460823443,0.980444116707373,0.05842355895662066,0.0664379515129846,0.011485745354624766
bs256_epoch2_lr0p0005_alpha0p3,256,2,0.0005,0.3,Binary,MLP Binary,MLP,0.9560757184486721,0.9472784604956827,0.9979819305163153,0.9719693991714795,0.9935260206774503,bs256_epoch2_lr0p0005_alpha5p0,5.0,MLP,0.9658366699045228,0.9888772364699526,0.9660964326740973,0.9773541051573591,0.9953402185724487,0.009760951455850653,0.00538470598587959,0.0018141978949983706
bs256_epoch2_lr0p0005_alpha0p3,256,2,0.0005,0.3,Binary,CNN Binary,CNN,0.9574261413442631,0.9489253660840813,0.9979198360706635,0.9728061016025786,0.997459590487131,bs256_epoch2_lr0p0005_alpha5p0,5.0,CNN,0.9557677272619584,0.9488727143617965,0.9956844360271974,0.9717151211235172,0.9234989428420628,-0.0016584140823047155,-0.0010909804790614208,-0.07396064764506816
bs256_epoch2_lr0p0005_alpha0p3,256,2,0.0005,0.3,Multi-class,MLP Multi,MLP,0.7101566016726291,0.7186717107433946,0.7101566016726291,0.6824881573352541,0.9639180029232595,bs256_epoch2_lr0p0005_alpha5p0,5.0,MLP,0.7794546186832192,0.8102344239209807,0.7794546186832192,0.7742047571826763,0.9807838877420771,0.06929801701059013,0.0917165998474222,0.016865884818817678
bs256_epoch2_lr0p0005_alpha0p3,256,2,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7097775355966737,0.7777161316786902,0.7097775355966737,0.6625501889602171,0.9746831151119039,bs256_epoch2_lr0p0005_alpha5p0,5.0,CNN,0.574735246037575,0.6454708196349548,0.574735246037575,0.4863997466638795,0.8981741895315076,-0.1350422895590987,-0.17615044229633764,-0.07650892558039624
bs512_epoch1_lr0p0010_alpha0p3,512,1,0.001,0.3,Binary,MLP Binary,MLP,0.9562178682271554,0.9474723655121592,0.9979508832934894,0.9720567332990595,0.9930793706727933,bs512_epoch1_lr0p0010_alpha5p0,5.0,MLP,0.956739084081594,0.9487224929847881,0.9972057499456674,0.9723601356260596,0.9937338507870471,0.0005212158544386503,0.00030340232700010183,0.0006544801142538414
bs512_epoch1_lr0p0010_alpha0p3,512,1,0.001,0.3,Binary,CNN Binary,CNN,0.9560283351891776,0.9482529462149629,0.9967710888261045,0.9719068809977901,0.9957411608556616,bs512_epoch1_lr0p0010_alpha5p0,5.0,CNN,0.9656708284962923,0.9905275243988008,0.9642335993045422,0.9772037191447855,0.9965024589400477,0.009642493307114641,0.005296838146995442,0.0007612980843861861
bs512_epoch1_lr0p0010_alpha0p3,512,1,0.001,0.3,Multi-class,MLP Multi,MLP,0.6723447605960814,0.684982590516614,0.6723447605960814,0.6357186280948255,0.9619517622531698,bs512_epoch1_lr0p0010_alpha5p0,5.0,MLP,0.7523987775119051,0.7689621919281137,0.7523987775119051,0.7427612370336533,0.9773142155330554,0.0800540169158237,0.10704260893882778,0.015362453279885613
bs512_epoch1_lr0p0010_alpha0p3,512,1,0.001,0.3,Multi-class,CNN Multi,CNN,0.4521547537255088,0.444941176550827,0.4521547537255088,0.3624531113048744,0.9336064898007302,bs512_epoch1_lr0p0010_alpha5p0,5.0,CNN,0.5966973868132389,0.591661197245495,0.5966973868132389,0.5526198405673299,0.9422977510935361,0.14454263308773013,0.19016672926245554,0.00869126129280584
bs1024_epoch1_lr0p0010_alpha0p3,1024,1,0.001,0.3,Binary,MLP Binary,MLP,0.9555071193347391,0.9464511760723012,0.9981682138532708,0.9716219891806945,0.9926110264211866,bs1024_epoch1_lr0p0010_alpha5p0,5.0,MLP,0.9569286171195717,0.9487346070932876,0.9974541277282747,0.9724845622956775,0.993559810922413,0.0014214977848325816,0.0008625731149829452,0.000948784501226374
bs1024_epoch1_lr0p0010_alpha0p3,1024,1,0.001,0.3,Binary,CNN Binary,CNN,0.9553175862967613,0.9498027116029312,0.9939768387717719,0.9713878269312458,0.9944845990251173,bs1024_epoch1_lr0p0010_alpha5p0,5.0,CNN,0.9492051458219811,0.9928526933543163,0.9402030488372815,0.9658108754584596,0.9941100484336675,-0.006112440474780212,-0.005576951472786251,-0.0003745505914498626
bs1024_epoch1_lr0p0010_alpha0p3,1024,1,0.001,0.3,Multi-class,MLP Multi,MLP,0.6635314743301192,0.6642140477281184,0.6635314743301192,0.6206091293400031,0.9587651689170406,bs1024_epoch1_lr0p0010_alpha5p0,5.0,MLP,0.7118623990144282,0.7281233970307935,0.7118623990144282,0.6782376177931676,0.9599192976881424,0.048330924684308996,0.057628488453164484,0.001154128771101881
bs1024_epoch1_lr0p0010_alpha0p3,1024,1,0.001,0.3,Multi-class,CNN Multi,CNN,0.6546944964344097,0.6813084159155907,0.6546944964344097,0.5941411139351407,0.9536720975994172,bs1024_epoch1_lr0p0010_alpha5p0,5.0,CNN,0.568101589708356,0.47541538238480396,0.568101589708356,0.4537582979648477,0.9335854620206635,-0.08659290672605369,-0.140382815970293,-0.020086635578753675
bs512_epoch1_lr0p0005_alpha0p3,512,1,0.0005,0.3,Binary,MLP Binary,MLP,0.9561941765974081,0.9473916887709991,0.9980129777391412,0.9720437260920183,0.9933376944332329,bs512_epoch1_lr0p0005_alpha5p0,5.0,MLP,0.9568338506005828,0.9487020466022859,0.997360986059797,0.972423187528379,0.9934819212021485,0.0006396740031746617,0.0003794614363606952,0.0001442267689155674
bs512_epoch1_lr0p0005_alpha0p3,512,1,0.0005,0.3,Binary,CNN Binary,CNN,0.9571181501575493,0.94866723735868,0.9977956471793598,0.9726114456919771,0.9959244388214475,bs512_epoch1_lr0p0005_alpha5p0,5.0,CNN,0.9667132602051696,0.9920452367260878,0.9641094104132385,0.9778778479318543,0.9961517448539228,0.009595110047620259,0.005266402239877177,0.0002273060324752274
bs512_epoch1_lr0p0005_alpha0p3,512,1,0.0005,0.3,Multi-class,MLP Multi,MLP,0.6676538179061338,0.683668852055376,0.6676538179061338,0.6311864431005022,0.958421942127783,bs512_epoch1_lr0p0005_alpha5p0,5.0,MLP,0.7330427160084342,0.7628374457827913,0.7330427160084342,0.7228404474937575,0.9645480395458401,0.06538889810230042,0.09165400439325533,0.0061260974180571415
bs512_epoch1_lr0p0005_alpha0p3,512,1,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7327110331919733,0.782661764370692,0.7327110331919733,0.7099074209848981,0.9763554837792956,bs512_epoch1_lr0p0005_alpha5p0,5.0,CNN,0.7587955175436518,0.7812816453950612,0.7587955175436518,0.7461436044802646,0.9778914432428234,0.02608448435167854,0.0362361834953665,0.0015359594635278029
bs256_epoch1_lr0p0010_alpha0p3,256,1,0.001,0.3,Binary,MLP Binary,MLP,0.9551754365182781,0.9460875194961891,0.9981371666304449,0.9714156216951201,0.9927808345493496,bs256_epoch1_lr0p0010_alpha5p0,5.0,MLP,0.9562652514866498,0.9490372386051051,0.996181191592412,0.9720379290496531,0.9936452870315751,0.001089814968371683,0.0006223073545330582,0.0008644524822254418
bs256_epoch1_lr0p0010_alpha0p3,256,1,0.001,0.3,Binary,CNN Binary,CNN,0.9572839915657798,0.9495003252320975,0.9970505138315378,0.972694643425058,0.9918217811791735,bs256_epoch1_lr0p0010_alpha5p0,5.0,CNN,0.9676135421355635,0.9900222434064189,0.9673072743643081,0.9785329543491575,0.9969686159148065,0.010329550569783685,0.005838310924099588,0.0051468347356329325
bs256_epoch1_lr0p0010_alpha0p3,256,1,0.001,0.3,Multi-class,MLP Multi,MLP,0.7110805752327702,0.7434990200097609,0.7110805752327702,0.683116786631478,0.9642655412275719,bs256_epoch1_lr0p0010_alpha5p0,5.0,MLP,0.7620649624487669,0.7831304973028239,0.7620649624487669,0.7507555271552222,0.9780754742504966,0.05098438721599663,0.06763874052374419,0.013809933022924659
bs256_epoch1_lr0p0010_alpha0p3,256,1,0.001,0.3,Multi-class,CNN Multi,CNN,0.4319221019213912,0.5280221146172294,0.4319221019213912,0.3299208065444,0.8942854415193235,bs256_epoch1_lr0p0010_alpha5p0,5.0,CNN,0.6056528228576844,0.618660145397736,0.6056528228576844,0.5388651775854496,0.9103927412476605,0.17373072093629321,0.20894437104104963,0.01610729972833691
