model,batch_size,local_epochs,learning_rate,accuracy_Binary,accuracy_Multi-class,auc_roc_Binary,auc_roc_Multi-class,f1_score_Binary,f1_score_Multi-class,precision_Binary,precision_Multi-class,recall_Binary,recall_Multi-class,weighted_score_Binary,weighted_score_Multi-class,combined_score,score_difference,balance_score
MLP,1024,2,0.001,0.9552938946670142,0.7042100026060792,0.993509362290043,0.9639340395829187,0.9714958988534916,0.6719612785173343,0.9460167098140739,0.7039780655279143,0.9983855444130523,0.7042100026060792,0.9729402820075351,0.7496586777680653,0.8612994798878002,0.22328160423946986,0.8389713194638532
MLP,256,2,0.001,0.9546305290340923,0.6936435357388234,0.9922739963985221,0.9784466477396224,0.9710221684194598,0.662563449476257,0.9471307120085016,0.6993368182658428,0.9961501443695862,0.6936435357388234,0.9722415100460324,0.7455267973918739,0.8588841537189531,0.22671471265415855,0.8362126824535372
MLP,1024,1,0.0005,0.953919780141676,0.6834087516880286,0.9926709817131856,0.9536501902018835,0.9705744413682507,0.6535572761013484,0.9465033933313662,0.6958161273119878,0.9959017665869788,0.6834087516880286,0.9719140726282914,0.7339682193982555,0.8529411460132734,0.23794585323003592,0.8291465606902698
MLP,1024,2,0.0005,0.9556255774834751,0.6761591129853822,0.9932247741314538,0.9632361775767092,0.9716945489716039,0.6384055853578494,0.9466168070196102,0.6880432259736625,0.9981371666304449,0.6761591129853822,0.9730597748473176,0.7284006429757972,0.8507302089115574,0.24465913187152044,0.8262642957244053
MLP,512,1,0.001,0.9562178682271554,0.6723447605960814,0.9930793706727933,0.9619517622531698,0.9720567332990595,0.6357186280948255,0.9474723655121592,0.684982590516614,0.9979508832934894,0.6723447605960814,0.9733554442009313,0.7254685004113545,0.8494119723061428,0.24788694378957687,0.8246232779271851
MLP,256,1,0.0005,0.949986969603639,0.6715629368144235,0.9932659551678101,0.9648406791054301,0.96824561139608,0.6348786117709442,0.9391304347826087,0.6857191739381764,0.999223819429352,0.6715629368144235,0.9699705580758982,0.7257128676886796,0.8478417128822888,0.24425769038721856,0.823415943843567
MLP,512,1,0.0005,0.9561941765974081,0.6676538179061338,0.9933376944332329,0.958421942127783,0.9720437260920183,0.6311864431005022,0.9473916887709991,0.683668852055376,0.9980129777391412,0.6676538179061338,0.9733960527265599,0.7217169746191857,0.8475565136728729,0.2516790781073742,0.8223886058621355
MLP,1024,1,0.001,0.9555071193347391,0.6635314743301192,0.9926110264211866,0.9587651689170406,0.9716219891806945,0.6206091293400031,0.9464511760723012,0.6642140477281184,0.9981682138532708,0.6635314743301192,0.9728719049724385,0.7141302589290801,0.8435010819507593,0.25874164604335836,0.8176269173464235
CNN,1024,1,0.001,0.9553175862967613,0.6546944964344097,0.9944845990251173,0.9536720975994172,0.9713878269312458,0.5941411139351407,0.9498027116029312,0.6813084159155907,0.9939768387717719,0.6546944964344097,0.9729939125255656,0.7077021240637935,0.8403480182946795,0.26529178846177204,0.8138188394485023
CNN,256,2,0.001,0.889146864412803,0.5229453434101732,0.9908719969573723,0.8572665142995853,0.9222279474095374,0.45808291429188386,0.9924161121843028,0.6253018203797831,0.8613120556366233,0.5229453434101732,0.9311949953201277,0.5973083871583198,0.7642516912392238,0.33388660816180793,0.730863030423043
CNN,512,1,0.001,0.9560283351891776,0.4521547537255088,0.9957411608556616,0.9336064898007302,0.9719068809977901,0.3624531113048744,0.9482529462149629,0.444941176550827,0.9967710888261045,0.4521547537255088,0.9737400824167394,0.5290620570214899,0.7514010697191147,0.4446780253952495,0.7069332671795897
CNN,256,1,0.001,0.9572839915657798,0.4319221019213912,0.9918217811791735,0.8942854415193235,0.972694643425058,0.3299208065444,0.9495003252320975,0.5280221146172294,0.9970505138315378,0.4319221019213912,0.9736702510467293,0.523214513304747,0.7484423821757382,0.45045573774198233,0.70339680840154
